sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,31.73000192642212,41.73750305175781,18.002500534057617,1.269548491569562,10.447863867871604
2,19.140626430511475,24.902502059936523,14.622501373291016,0.5498613010608369,4.272485651792382
3,18.782501220703125,23.330001831054688,15.51500129699707,0.4180122640488145,3.309286417341463
4,18.705626726150513,22.957502365112305,15.805001258850098,0.38257619663756665,3.089208442290477
5,18.595000982284546,22.490001678466797,15.965001106262207,0.34901216579839345,2.84502451284409
6,18.554376125335693,22.00250244140625,16.162500381469727,0.3123726572359321,2.563960593235591
7,18.55375099182129,21.602500915527344,16.350000381469727,0.2809481113392902,2.312576761294888
8,18.520626068115234,21.20250129699707,16.510000228881836,0.25099460799600093,2.0556556960873933
9,18.55125093460083,20.82750129699707,16.657501220703125,0.22304683990473415,1.8352844744854784
10,18.54500150680542,20.482501983642578,16.77250099182129,0.1984422019494555,1.6364879739927791
11,18.54625129699707,20.177501678466797,16.895000457763672,0.17557590188630362,1.456515132753572
12,18.545626640319824,19.900001525878906,17.01000213623047,0.15458158738466554,1.2893188768342023
13,18.543127059936523,19.652502059936523,17.13500213623047,0.13465716838597558,1.1315703494770606
14,18.493125915527344,19.440000534057617,17.27250099182129,0.11593619053849914,0.9425990045761876
15,18.541876316070557,19.27250099182129,17.402502059936523,0.10002334406497593,0.8429465968888383
16,18.537500858306885,19.095001220703125,17.560001373291016,0.08210476233943018,0.6934723163958596
17,18.5375018119812,18.930002212524414,17.73750114440918,0.06378503356347992,0.5438256400982008
18,18.534376621246338,18.805002212524414,17.905000686645508,0.048139686470974156,0.4247376608780448
19,18.535000801086426,18.940000534057617,18.065000534057617,0.046802393608130245,0.36279014568929346
20,18.528751373291016,19.082500457763672,18.19500160217285,0.04747093801843053,0.3892855952757243
21,18.518126010894775,19.165000915527344,18.217500686645508,0.050680318463909926,0.4361067133090181
22,18.51625156402588,19.28750228881836,18.095001220703125,0.06378503356347992,0.5305367268835961
23,18.51625108718872,19.402502059936523,17.985000610351562,0.07581995518122346,0.628306840377265
24,18.531250953674316,19.567501068115234,17.895000457763672,0.08945946500058503,0.7456331526426772
25,18.533751487731934,19.670001983642578,17.817501068115234,0.09908740229477986,0.8296302201496693
26,18.535626888275146,19.767501831054688,17.767501831054688,0.10697689967572628,0.9026935482743936
27,18.535001277923584,19.85000228881836,17.705001831054688,0.11473274938728563,0.9703161294067946
28,18.531251430511475,19.927501678466797,17.660001754760742,0.1212850559265098,1.0323287518588535
29,18.53562593460083,19.9950008392334,17.627500534057617,0.12663392131452045,1.0811900952014217
30,18.468751430511475,20.04250144958496,17.610000610351562,0.13011069911989562,1.1079458839742218
31,18.530001163482666,20.0575008392334,17.630001068115234,0.12984319973887817,1.118996578101299
32,18.53062629699707,20.095001220703125,17.615001678466797,0.13265133111283137,1.1433254875233285
33,18.527501106262207,20.127500534057617,17.61250114440918,0.13452341869546686,1.1652802155725959
34,18.53062629699707,20.145002365112305,17.602500915527344,0.1359944612488195,1.1721360000694254
35,18.53312635421753,20.157501220703125,17.61250114440918,0.13612810891820656,1.1748800699294115
36,18.509376525878906,20.16750144958496,17.51500129699707,0.1418781213566217,1.204780982019267
37,18.530001163482666,20.157501220703125,17.6200008392334,0.13572696186780203,1.1730428753036968
38,18.536251068115234,20.172500610351562,17.63500213623047,0.13572685984668037,1.1741597761861662
39,18.536251068115234,20.155000686645508,17.652502059936523,0.1338547722640449,1.1572962875665145
40,18.535000801086426,20.137500762939453,17.67500114440918,0.13171528732151364,1.1409443208937868
41,18.537501335144043,20.1200008392334,17.69750213623047,0.1295757003578607,1.123081412512617
42,18.53625202178955,20.10000228881836,17.715002059936523,0.12756996510583818,1.1059263959379337
43,18.524376392364502,20.07750129699707,17.705001831054688,0.12690131867441623,1.1006083808928446
44,18.539376258850098,20.055002212524414,17.752500534057617,0.12315724553026694,1.0682300272989607
45,18.539376258850098,20.027502059936523,17.770000457763672,0.12075026120671824,1.0476277291868115
46,18.540001392364502,19.9950008392334,17.790000915527344,0.11794202781164335,1.0224233752504128
47,18.54125165939331,19.970001220703125,17.802501678466797,0.11593619053849914,1.0036608015738806
48,18.541251182556152,19.9325008392334,17.82750129699707,0.11259316242363271,0.9739317978670553
49,18.54000186920166,19.902502059936523,17.840002059936523,0.11031992779059271,0.9529013599611686
50,18.539376735687256,19.867502212524414,17.845001220703125,0.10818044284806147,0.9296405469307203
51,18.541876316070557,19.832500457763672,17.872501373291016,0.10483731271207335,0.9019704093881479
52,18.541251182556152,19.797500610351562,17.887500762939453,0.10216293102862886,0.8778866220291908
53,18.51500129699707,19.655000686645508,17.902502059936523,0.09373843488564755,0.8016411689888462
54,18.54250144958496,19.722501754760742,17.927501678466797,0.0960117715398092,0.8233570925828163
55,18.54375123977661,19.685001373291016,17.937501907348633,0.09347103752575177,0.7958760336428753
56,18.54375123977661,19.64750099182129,17.95250129699707,0.09066290615179855,0.7705367859087076
57,18.545626163482666,19.622501373291016,17.967500686645508,0.08852342120926729,0.7517299551097737
58,18.550001621246338,19.587501525878906,17.98750114440918,0.08558154014480536,0.7261025705139001
59,18.549376964569092,19.555002212524414,17.997501373291016,0.08330830551176537,0.7045342866132892
60,18.544376373291016,19.52250099182129,18.01000213623047,0.08090121916709499,0.6836156153499261
