,sequence,time,relative_time,frame_id,weight,mass,x,y
9,0,1603938390.5313551,0.26401519775390625,tb3_1,0.0,0.0,8.700000129640102,3.450000051409006
1,0,1603938390.289202,0.021862030029296875,tb3_10,0.0,0.0,3.6000000536441803,5.850000087171793
7,0,1603938390.507962,0.24062204360961914,tb3_2,0.0,0.0,8.900000132620335,6.100000090897083
8,0,1603938390.50878,0.2414400577545166,tb3_3,0.0,0.0,9.350000139325857,7.400000110268593
6,0,1603938390.4866931,0.21935319900512695,tb3_4,0.0,0.0,7.1500001065433025,9.250000137835741
5,0,1603938390.4319782,0.16463828086853027,tb3_5,0.0,0.0,9.700000144541264,9.500000141561031
0,0,1603938390.26734,0.0,tb3_6,0.0,0.0,5.000000074505806,6.750000100582838
4,0,1603938390.3262913,0.058951377868652344,tb3_7,0.0,0.0,4.6500000692903996,9.00000013411045
3,0,1603938390.304643,0.03730297088623047,tb3_8,0.0,0.0,6.750000100582838,9.900000147521496
2,0,1603938390.296459,0.029119014739990234,tb3_9,0.0,0.0,6.800000101327896,4.250000063329935
15,1,1603938395.0155282,4.748188257217407,tb3_0,-0.0005629659281112254,2.637500286102295,5.055545099030182,9.068554637501714
14,1,1603938394.950583,4.683243036270142,tb3_1,0.0,5.200000286102295,8.750060226539901,3.488221205824682
19,1,1603938395.109476,4.8421361446380615,tb3_10,-0.135081484913826,9.887500762939453,3.54148551421346,5.3919090563254795
11,1,1603938394.9332669,4.665926933288574,tb3_2,0.0,5.492500305175781,8.720744326580995,6.025671459839522
12,1,1603938394.9361334,4.668793439865112,tb3_3,0.0,3.3675003051757812,9.167910307362312,7.509150074775527
18,1,1603938395.1077611,4.840421199798584,tb3_4,-0.025439998134970665,4.345000267028809,7.191599646864007,8.912500132806569
16,1,1603938395.053596,4.7862560749053955,tb3_5,-0.007799999788403511,2.12250018119812,9.473321695933809,9.391784592245301
17,1,1603938395.0894666,4.822126626968384,tb3_6,-0.06391851603984833,6.095000267028809,5.205568166166222,6.739807319462942
13,1,1603938394.9454873,4.678147315979004,tb3_7,-0.11786666512489319,6.867500305175781,4.360629842918014,8.937996128818082
10,1,1603938394.9239094,4.656569480895996,tb3_8,0.0,0.9500000476837158,6.523026412990138,9.776644882525488
20,1,1603938395.1296866,4.862346649169922,tb3_9,-0.09023334085941315,9.272500991821289,6.495881736052043,4.103080406247129
26,2,1603938395.2187765,4.951436519622803,tb3_0,0.024314813315868378,2.745000123977661,5.111697906779973,8.994591592865033
25,2,1603938395.1608243,4.893484354019165,tb3_1,-0.0424666665494442,5.135000228881836,8.786580811918569,3.5090327324249584
29,2,1603938395.3093348,5.04199481010437,tb3_10,-0.17727407813072205,9.225000381469727,3.522619476978665,5.06522963121837
23,2,1603938395.1459808,4.87864089012146,tb3_2,-0.045955557376146317,5.517500400543213,8.61754259374133,5.967276190799774
22,2,1603938395.1443524,4.877012491226196,tb3_3,-0.01994074136018753,3.6600003242492676,9.03207680466278,7.552969902731428
30,2,1603938395.310093,5.042752981185913,tb3_4,-0.032165925949811935,3.942500352859497,7.233402921390492,8.726272324070855
27,2,1603938395.2545035,4.987163543701172,tb3_5,0.02037777751684189,2.4175002574920654,9.32624209526082,9.325416667072798
28,2,1603938395.2894535,5.022113561630249,tb3_6,-0.06473332643508911,6.205000400543213,5.314186218570763,6.70361644107565
24,2,1603938395.1507175,4.883377552032471,tb3_7,-0.0997481495141983,5.187500476837158,3.931495670445201,8.820781261785735
21,2,1603938395.1400442,4.872704267501831,tb3_8,0.006555556785315275,0.9500000476837158,6.400986937487397,9.676217249450058
31,2,1603938395.3291717,5.061831712722778,tb3_9,-0.12287779152393341,8.522500991821289,6.305479781290037,3.9921019803534374
37,3,1603938395.4177694,5.1504294872283936,tb3_0,0.04462592303752899,3.075000286102295,5.109487202824287,8.936767407301272
36,3,1603938395.3613615,5.094021558761597,tb3_1,-0.0160222165286541,5.532500267028809,8.771227660531379,3.539265602025544
