sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,12.562728014859287,32.17250061035156,3.507500171661377,5.6056000857883035,9.180290709497921
2,5.718863996592435,8.847500801086426,1.6475001573562622,1.40800012588501,2.4708745486995443
3,5.103636752475392,8.40000057220459,1.8250001668930054,1.28577785703871,2.096344064204305
4,4.972273024645719,8.127500534057617,1.9650001525878906,1.2051111857096355,1.9320683935579155
5,4.977500395341353,7.80750036239624,2.1525001525878906,1.105866707695855,1.7430631417466202
6,4.9786367633126,7.46250057220459,2.4275002479553223,0.984622285630968,1.5362196664780496
7,4.9897731000726875,7.125000476837158,2.695000171661377,0.8663111707899306,1.3580954858483747
8,4.984773137352684,6.7350006103515625,2.9600002765655518,0.738222287495931,1.188755980622744
9,4.95863676071167,6.3600006103515625,3.2225003242492676,0.6135556115044488,1.0436621475455468
10,4.955909403887662,6.385000228881836,3.4750001430511475,0.5690666834513347,0.9198249463622548
11,4.960909474979747,6.382500648498535,3.690000295639038,0.5265334023369683,0.822133219351251
12,4.958636674014005,6.347500324249268,3.8675003051757812,0.48497778150770404,0.7369772036595865
13,4.955682147632945,6.2925004959106445,4.060000419616699,0.43657779269748265,0.6808066006476893
14,4.947954914786599,6.215000629425049,4.197500228881836,0.3945334116617839,0.620002955868062
15,4.959318507801402,6.142500400543213,4.262500286102295,0.36764446682400176,0.5668025788762611
16,4.943409399552778,6.0425004959106445,4.177500247955322,0.36471115960015194,0.5410999432808531
17,4.949773051521995,5.947500228881836,4.192500114440918,0.3432000223795573,0.5058673780472124
18,4.9493185390125625,5.862500190734863,4.210000514984131,0.32315549214680994,0.48229537470006173
19,4.959773063659668,5.785000324249268,4.247500419616699,0.30066664801703563,0.45748697707208436
20,4.932273084467107,5.715000629425049,4.157500267028809,0.3045778486463759,0.46350367268412634
21,4.944545832547274,5.632500171661377,4.1675004959106445,0.28648882548014326,0.45867990592708185
22,4.931136738170277,5.570000171661377,4.185000419616699,0.27084439595540366,0.44559554716011174
23,4.935454845428467,5.507500171661377,4.157500267028809,0.26399998135036895,0.450127520848641
24,4.92795484716242,5.465000152587891,4.077500343322754,0.2713332960340712,0.4524679714700919
25,4.926364031704989,5.457500457763672,4.0425004959106445,0.27671110365125867,0.4529933648390239
26,4.930227583104914,5.470000267028809,4.005000114440918,0.2864889187282986,0.45721778956934983
27,4.921818494796753,5.402500152587891,3.955000162124634,0.28306666480170356,0.45477484898852877
28,4.9200003363869405,5.4175004959106445,3.9075002670288086,0.2952889336480035,0.46322516745246034
29,4.921363960612904,5.4175004959106445,3.887500286102295,0.2992000410291884,0.4704603916420038
30,4.907500332052058,5.367500305175781,3.8350002765655518,0.2996888944837782,0.4662362268014249
31,4.914773052388972,5.362500190734863,3.7900002002716064,0.307511109246148,0.4788051664996136
32,4.9150003303181045,5.325000286102295,3.7900002002716064,0.30017779456244575,0.47307249258091627
33,4.9222730506550185,5.345000267028809,3.7900002002716064,0.30408890194363064,0.4663548559312022
34,4.912954915653575,5.3600006103515625,3.7300002574920654,0.31875562455919054,0.4775718132902325
35,4.910682158036665,5.365000247955322,3.7150001525878906,0.3226666853162978,0.47668666178402386
36,4.9150003303181045,5.365000247955322,3.7350003719329834,0.3187555313110352,0.4703084034890442
37,4.913636706092141,5.3575005531311035,3.692500352859497,0.3256000391642253,0.4769294560566024
38,4.916136784987017,5.3550004959106445,3.6800003051757812,0.3275555928548177,0.47965924033847307
39,4.91568212075667,5.365000247955322,3.6700003147125244,0.33146665361192496,0.4800665453444728
40,4.910682201385498,5.372500419616699,3.6800003051757812,0.3309778001573351,0.48149522621511404
41,4.912727572701194,5.382500171661377,3.6525001525878906,0.3383111148410374,0.4868476208046818
42,4.911818591031161,5.387500286102295,3.6525001525878906,0.33928891499837244,0.4838248033870165
43,4.910909414291382,5.390000343322754,3.642500162124634,0.3417333687676324,0.48366351261434404
44,4.908636765046553,5.395000457763672,3.6100003719329834,0.3490666834513347,0.49244463935554367
45,4.892273035916415,5.402500152587891,3.570000171661377,0.35835555182562934,0.5054620045359882
46,4.985454884442416,6.302500247955322,3.5875003337860107,0.5309333165486654,0.6892575990252019
47,5.021818486126986,6.115000247955322,3.627500295639038,0.4864444351196289,0.6397139072343969
48,4.972500432621349,5.937500476837158,3.580000162124634,0.4610222837660048,0.5840291769932199
49,4.951136697422374,5.805000305175781,3.6025002002716064,0.43071113162570535,0.5567791494520343
50,7.61227315122431,34.3650016784668,3.6000001430511475,6.016266966925727,8.890322083377324
51,4.825000329451128,5.630000591278076,3.572500228881836,0.4023556264241537,0.6687769601325435
52,4.881591189991344,5.572500228881836,3.5925002098083496,0.38720000372992625,0.5827287985073436
53,4.906591285358775,5.510000228881836,3.5900001525878906,0.37546668158637153,0.5650302265472561
54,4.908636656674472,5.470000267028809,3.5950002670288086,0.3666666666666667,0.559851995270437
55,4.902045856822621,5.472500324249268,3.572500228881836,0.37155557420518665,0.5593364966831187
56,4.903636737303301,5.492500305175781,3.6025002002716064,0.36960002051459423,0.5509859878623551
57,4.903182181445035,5.490000247955322,3.6100003719329834,0.36764442019992405,0.5498966729033243
58,4.9077275883067735,5.4800004959106445,3.6150002479553223,0.36471115960015194,0.5491544389832196
59,4.903409481048584,5.46250057220459,3.5900001525878906,0.36617785983615453,0.5522910831973994
60,4.906818498264659,5.475000381469727,3.6100003719329834,0.3647111129760742,0.5484661739920802
61,4.90750037540089,5.470000267028809,3.627500295639038,0.3603111055162218,0.539826425939646
62,4.900909467176958,5.457500457763672,3.575000286102295,0.3681333669026693,0.5493021832099781
63,4.901591192592274,5.447500228881836,3.6050002574920654,0.3603111055162218,0.5426454917736746
64,4.908636635000056,5.450000286102295,3.6475002765655518,0.35248889075385204,0.5259091614748858
65,4.905000339854848,5.437500476837158,3.695000171661377,0.34075561523437503,0.5094568697986868
66,4.898636709560048,5.427500247955322,3.7075002193450928,0.3363555611504449,0.5077417472388956
67,4.900454846295443,5.407500267028809,3.6675002574920654,0.3402666685316298,0.5149124239437398
68,4.897045807404951,5.387500286102295,3.705000162124634,0.32902224646674266,0.4975927583802084
69,4.893863894722679,5.382500171661377,3.7425003051757812,0.32071108500162765,0.4877529538070944
70,4.905682130293413,5.40500020980835,3.765000343322754,0.32071108500162765,0.489914658486609
71,4.895000371066007,5.387500286102295,3.7150001525878906,0.3270666927761502,0.4985015407928833
72,4.9150003086436875,5.382500171661377,3.757500171661377,0.31777777777777777,0.48564011412562386
73,4.9186366904865615,5.407500267028809,3.7950003147125244,0.3153333240085178,0.4785007629664061
74,4.9077276533300225,5.397500514984131,3.750000238418579,0.3221778318617079,0.49546253539191876
75,4.900909402153709,5.387500286102295,3.7925002574920654,0.31191111670600047,0.4864312852507598
76,4.909091169183904,5.40500020980835,3.825000286102295,0.30897776285807294,0.49130477513952353
77,4.894318450580943,5.392500400543213,3.7775001525878906,0.31582227071126306,0.5049643062678308
78,4.897045829079368,5.397500514984131,3.8075003623962402,0.31093336317274306,0.5025707180877683
79,4.9100002375516025,5.392500400543213,3.8425002098083496,0.3031111484103733,0.49480936875437065
80,4.900454846295443,5.392500400543213,3.7900002002716064,0.31337781694200306,0.5184156651160935
81,4.902954925190318,5.4200005531311035,3.822500228881836,0.31240006340874565,0.517133762261514
82,4.905454917387529,5.4200005531311035,3.8575003147125244,0.3055556021796333,0.5147327748680536
83,4.910000324249268,5.435000419616699,3.890000343322754,0.3021333482530382,0.5217327558357764
84,4.9040912931615654,5.442500591278076,3.8325002193450928,0.31484451717800566,0.5416333106883217
85,4.907045776193792,5.412500381469727,3.8600003719329834,0.3036000018649631,0.5461900163006682
86,4.909091299230402,5.450000286102295,3.890000343322754,0.30506665547688805,0.5415801474549592
87,4.904545783996582,5.4775004386901855,3.945000171661377,0.29968894110785593,0.550602894786581
88,4.905682195316661,5.515000343322754,3.8975002765655518,0.3163111241658529,0.5647689249990644
89,4.913182128559459,5.555000305175781,3.9100003242492676,0.3216888851589627,0.5722238713538501
90,4.920227657664906,5.582500457763672,3.950000286102295,0.3192444780137804,0.573526889188963
91,4.917954900047996,5.600000381469727,3.9850003719329834,0.31582222408718535,0.5769649656082858
92,4.922727584838867,5.615000247955322,4.015000343322754,0.3128888702392578,0.5861766548297962
93,4.921818516471169,5.637500286102295,4.020000457763672,0.3163110775417752,0.5911367289514196
94,4.91909122467041,5.6700005531311035,4.015000343322754,0.32364448547363284,0.6097871483617844
95,4.935000376267866,5.705000400543213,3.9900002479553223,0.3353778076171875,0.613152737276875
96,4.926364010030573,5.7300004959106445,3.9800002574920654,0.3422222688462999,0.6198864810062852
97,4.934773076664317,5.74500036239624,3.9600002765655518,0.3490666834513347,0.6245483307267218
98,4.939091205596924,5.757500171661377,3.950000286102295,0.3534666442871094,0.6337017302336484
99,4.93659123507413,5.7900004386901855,3.9275002479553223,0.3642222595214844,0.637824713263613
100,4.9406821727752686,5.812500476837158,3.9200003147125244,0.37008892059326176,0.6369067349214981
101,4.9504548636349766,5.812500476837158,3.9025003910064697,0.3735111278957791,0.6412125127134964
102,4.946363947608254,5.822500228881836,3.877500295639038,0.3803555425008138,0.6523471080443334
103,4.952727621251887,5.847500324249268,3.8650002479553223,0.3876889038085938,0.6558692230623963
