sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,2887.5396118164062,7319.13818359375,754.1375732421875,3.587853551292399,2990.7312516854163
2,1815.0026092529297,3509.775146484375,625.4125366210938,1.5763396299911088,1259.071703987108
3,1780.6595153808594,3147.68017578125,649.8875732421875,1.3650743680481927,1092.3939441012726
4,1780.4857330322266,2963.652587890625,645.8975219726562,1.2666816406943815,1053.39573205689
5,1783.3944854736328,2792.57763671875,658.6525268554688,1.166216309491706,1008.1276652981572
6,1786.6107788085938,2621.560302734375,675.780029296875,1.0633928431140816,956.971690012953
7,1787.6288757324219,2605.980224609375,694.842529296875,1.0444602482327159,906.6010123531554
8,1787.0906982421875,2638.8701171875,714.967529296875,1.0514364189730623,860.7557214995527
9,1787.1626281738281,2653.28515625,739.1275634765625,1.0461106593252416,818.401315052945
10,1788.4589080810547,2652.185302734375,764.3800659179688,1.0317087727882819,783.8039201975256
11,1792.8744812011719,2636.517578125,792.9600830078125,1.007526837916579,758.1480463373148
12,1796.5189056396484,2595.582763671875,824.2200317382812,0.9680715121905544,732.3804312804745
13,1801.0863952636719,2538.052734375,862.1075439453125,0.9159246525846957,702.0595533303415
14,1804.2019653320312,2467.47509765625,902.2900390625,0.8553928787227734,666.6939644791844
15,1806.4401092529297,2384.91015625,943.4525756835938,0.7877742907316467,626.9314619151569
16,1806.3994903564453,2294.882568359375,982.4475708007812,0.717261862764529,586.5239456025369
17,1808.0644836425781,2202.612548828125,1024.2451171875,0.643992289608137,546.5647415843134
18,1807.7969665527344,2172.4150390625,1063.882568359375,0.6058266248237497,511.0876751519291
19,1806.7433166503906,2176.7177734375,1104.2501220703125,0.5861167576339228,479.7070164878195
20,1805.2200927734375,2180.26513671875,1139.780029296875,0.568637904137303,456.7757247844354
21,1803.3363952636719,2179.3876953125,1177.9400634765625,0.5473034437575658,437.02749157409283
22,1804.3607482910156,2178.862548828125,1215.6251220703125,0.5264210968817716,423.7155090126021
23,1802.3851928710938,2176.457763671875,1253.0826416015625,0.5046358572566244,411.22626467205527
24,1801.2857360839844,2172.3525390625,1289.5025634765625,0.4824883664397388,400.85597043845723
25,1801.7432250976562,2170.130126953125,1325.195068359375,0.46176739813352385,393.10028147426647
26,1799.6788940429688,2167.45263671875,1360.12255859375,0.4412158139480868,384.23953585891303
27,1800.1220397949219,2163.375244140625,1393.47265625,0.4207612303580065,375.41914822072414
28,1799.5438842773438,2159.61767578125,1425.5950927734375,0.4011523665391357,366.4988407930015
29,1799.0757446289062,2153.777587890625,1456.3651123046875,0.3811444927059395,356.74583255409584
30,1798.9007568359375,2147.252685546875,1485.59765625,0.36160260866543065,346.96129972745297
31,1799.0701599121094,2139.730224609375,1505.8951416015625,0.34639866596775715,334.6388391327609
32,1799.2107543945312,2130.630126953125,1499.82763671875,0.34474131673085906,322.870121092244
33,1799.1445007324219,2121.3701171875,1495.9676513671875,0.3417901369944078,310.69934475700063
34,1798.8663635253906,2110.820068359375,1494.60009765625,0.33677179051261485,298.2496402473873
35,1798.4576721191406,2098.332763671875,1495.107666015625,0.3296699326184497,285.1886244370927
36,1798.7020263671875,2086.4501953125,1498.0826416015625,0.321550102176451,272.15910173077276
37,1796.810791015625,2072.76025390625,1502.545166015625,0.3116295564181721,258.76870375272586
38,1798.0682678222656,2058.065185546875,1508.9901123046875,0.30007627849293084,245.2707901787508
39,1798.5707702636719,2045.4576416015625,1516.007568359375,0.28935097470040877,232.6726392162189
40,1798.4169921875,2030.732666015625,1523.8350830078125,0.2770257615008389,219.91383761621515
41,1798.219482421875,2016.0526123046875,1533.0526123046875,0.263965438562454,206.95435477568577
42,1797.2369995117188,2000.8975830078125,1542.6776123046875,0.2504228478772779,195.08670948532406
