,sequence,time,relative_time,frame_id,weight,mass,x,y
26,1,1603923370.1194158,1.4513561725616455,A,-0.1623999923467636,9.135000228881836,4.12935145726283,4.195942864932707
6,1,1603923368.9168622,0.24880266189575195,D,-0.191244438290596,10.757500648498535,8.674802592662276,3.7017372152810015
4,1,1603923368.9043539,0.23629426956176758,G,0.0,5.497500419616699,3.2761937732392745,6.423294775114263
1,1,1603923368.6821334,0.014073848724365234,H,0.0,14.830000877380371,6.101011554162326,8.528300025935241
2,1,1603923368.6887896,0.020730018615722656,I,0.0,24.55000114440918,5.555914033909732,8.130567840095763
0,1,1603923368.6680596,0.0,J,0.0,56.250003814697266,5.88750008773058,5.637500084005201
3,1,1603923368.8137975,0.145737886428833,K,0.0,12.020000457763672,8.368594134685138,8.377688352790745
31,2,1603923370.4015882,1.7335286140441895,A,-0.30804443359375,8.192500114440918,4.01268460721653,4.054715434770242
12,2,1603923369.3103297,0.6422700881958008,D,-0.3769777715206146,10.447501182556152,8.551029021239213,3.8552357109704207
9,2,1603923369.1780438,0.5099842548370361,G,-0.11808888614177704,6.642500400543213,3.3029162565534556,6.696272956983025
5,2,1603923368.9393928,0.2713332176208496,H,-0.2226666659116745,12.52500057220459,6.975181484265984,8.564489398405007
7,2,1603923369.047846,0.37978649139404297,I,-0.18497778475284576,10.405000686645508,4.816892655218195,8.148831554179615
10,2,1603923369.2542064,0.5861468315124512,J,-0.39284443855285645,22.097501754760742,6.329814694389466,5.003864340883047
8,2,1603923369.0990963,0.43103671073913574,K,-0.1875111162662506,10.547500610351562,8.518298080016194,8.192340325172779
38,3,1603923370.7339478,2.0658881664276123,A,-0.4412444233894348,7.492500305175781,3.907401724662319,3.959698420186541
18,3,1603923369.6425583,0.9744987487792969,D,-0.5402666330337524,9.1850004196167,8.581958505111807,3.940274390647583
15,3,1603923369.5081675,0.8401079177856445,G,-0.21128888428211212,5.242500305175781,3.3115320681305853,6.7478384843250785
11,3,1603923369.3623292,0.6942696571350098,H,-0.3184888958930969,5.390000343322754,6.902398306932251,8.619524448434095
13,3,1603923369.4256158,0.7575562000274658,I,-0.3259555697441101,7.9300007820129395,4.629261303955282,8.392401339541294
16,3,1603923369.5499976,0.8819379806518555,J,-0.6363999843597412,13.700000762939453,6.054364507039314,4.751257021477304
14,3,1603923369.4770632,0.8090035915374756,K,-0.3442666828632355,8.817501068115234,8.689302210644016,8.049948219801152
45,4,1603923371.0673609,2.399301290512085,A,-0.5747110843658447,7.507500648498535,3.8646566017623325,3.894001752768835
24,4,1603923369.9763615,1.3083019256591797,D,-0.7070221900939941,9.380001068115234,8.592791683395653,4.016825658657626
21,4,1603923369.8415177,1.1734580993652344,G,-0.3091999888420105,5.507500171661377,3.3894587516832573,6.7474099869389565
17,4,1603923369.696182,1.0281224250793457,H,-0.4216444492340088,5.802500247955322,6.818756291108942,8.59013712643129
19,4,1603923369.7582,1.0901403427124023,I,-0.4659111201763153,7.872500419616699,4.506159741477406,8.517207402942443
22,4,1603923369.8820276,1.21396803855896,J,-0.8820444345474243,13.817501068115234,5.7644538702083,4.548317162618472
20,4,1603923369.8112006,1.1431410312652588,K,-0.5023555755615234,8.892500877380371,8.769932307052427,7.93109589990282
52,5,1603923371.4010448,2.732985258102417,A,-0.70906662940979,7.55750036239624,3.8554262455150656,3.848398522977411
30,5,1603923370.3104,1.6423404216766357,D,-0.8806666135787964,9.767500877380371,8.57142150048643,4.077001291174401
28,5,1603923370.175515,1.5074553489685059,G,-0.4106222093105316,5.705000400543213,3.48187883279651,6.738264640450192
23,5,1603923370.0306377,1.3625781536102295,H,-0.5411555767059326,6.722500324249268,6.769065811831931,8.524791571576237
25,5,1603923370.0910566,1.422996997833252,I,-0.5971555709838867,7.382500648498535,4.39272602520911,8.621243454932014
29,5,1603923370.2159853,1.5479257106781006,J,-1.1247999668121338,13.655000686645508,5.514504528337657,4.380973881835402
