,sequence,time,relative_time,frame_id,weight,mass,x,y
5,0,1604013604.1502888,3.4894654750823975,A,0.0,0.0,6.650000099092722,4.500000067055225
8,0,1604013606.8805385,6.219715118408203,B,0.0,0.0,4.000000059604645,3.500000052154064
0,0,1604013600.6608233,0.0,D,0.0,0.0,8.900000132620335,3.250000048428774
10,0,1604013608.3828611,7.7220377922058105,E,0.0,0.0,8.300000123679638,9.150000136345625
9,0,1604013607.7675774,7.1067540645599365,F,0.0,0.0,6.900000102818012,2.8500000424683094
7,0,1604013606.0567389,5.395915508270264,G,0.0,0.0,3.200000047683716,8.00000011920929
4,0,1604013603.8198445,3.1590211391448975,H,0.0,0.0,9.00000013411045,10.150000151246786
2,0,1604013602.1628604,1.5020370483398438,I,0.0,0.0,5.600000083446503,7.9500001184642315
1,0,1604013601.0078344,0.34701108932495117,J,0.0,0.0,3.8500000573694706,7.000000104308128
3,0,1604013603.3538485,2.6930251121520996,K,0.0,0.0,8.650000128895044,10.800000160932541
6,0,1604013604.9162347,4.255411386489868,L,0.0,0.0,2.9000000432133675,10.000000149011612
29,1,1604013615.4942458,14.833422422409058,A,0.07966922223567963,880.7175903320312,6.502308725935864,4.7348230274049
12,1,1604013614.978923,14.318099737167358,B,0.0,4182.72021484375,3.7327268309021697,4.695127552796997
26,1,1604013615.5518086,14.890985250473022,D,0.0,175.81251525878906,8.859589893838296,3.6094977430853685
11,1,1604013614.9066763,14.245852947235107,E,0.0,7319.13818359375,6.45116459467901,7.878558852974742
13,1,1604013615.024838,14.364014625549316,F,0.0,3969.100341796875,5.700614282748782,3.8251704829146433
16,1,1604013615.1663623,14.505538940429688,G,0.09887625277042389,2935.880126953125,3.096071794639772,7.926641023057767
22,1,1604013615.337209,14.676385641098022,H,0.0,215.83251953125,9.197246844565907,10.072014038169215
20,1,1604013615.2924123,14.63158893585205,I,0.0,924.8850708007812,5.55331515705738,7.812656825089544
24,1,1604013615.3563051,14.695481777191162,J,0.0,2797.395263671875,3.5225772627164327,6.619948479191802
18,1,1604013615.2482197,14.587396383285522,K,0.0,294.2900085449219,7.951354862104655,10.624015797645516
15,1,1604013615.0994482,14.438624858856201,L,0.0,770.93505859375,3.07250583420965,9.88751392930149
37,2,1604013616.0574584,15.396635055541992,A,0.20656484365463257,642.5325317382812,6.790396983203337,4.8947175631203965
14,2,1604013615.1036248,14.442801475524902,B,0.023658378049731255,3486.41015625,3.55195209049761,5.197681310787182
40,2,1604013616.1700768,15.50925350189209,D,0.11561929434537888,225.64501953125,8.74662759118247,3.7898740423850623
19,2,1604013615.2459009,14.58507752418518,E,0.18227079510688782,2741.84521484375,5.911860030855564,8.380923121324532
17,2,1604013615.2009964,14.540173053741455,F,0.583962082862854,1476.830078125,5.966810906928493,3.829595648671871
25,2,1604013615.4099128,14.749089479446411,G,0.40963590145111084,1584.3350830078125,3.001638613486147,7.8012136358407576
33,2,1604013615.8319724,15.171149015426636,H,0.08976467698812485,333.2550354003906,9.201440590388671,9.891735062513796
32,2,1604013615.7844949,15.123671531677246,I,0.24348685145378113,508.9200439453125,5.444651359933875,7.449430770222033
36,2,1604013615.968218,15.307394742965698,J,0.2211187183856964,830.6600341796875,3.404573889875844,6.561267010096274
30,2,1604013615.669281,15.008457660675049,K,0.3236004114151001,328.21502685546875,7.556816752882781,10.496413396304023
21,2,1604013615.334013,14.673189640045166,L,0.39242517948150635,787.3550415039062,3.1630162818970833,9.822508998028281
48,3,1604013616.6718757,16.01105237007141,A,0.2672051191329956,379.96502685546875,6.751237420191458,5.115307020491972
23,3,1604013615.3633177,14.702494382858276,B,0.23169131577014923,2497.102783203125,3.4186475760022894,5.432782110720378
49,3,1604013616.7299292,16.069105863571167,D,0.17318905889987946,237.91502380371094,8.655057864606134,3.8522813224732158
28,3,1604013615.59483,14.934006690979004,E,0.3227940499782562,764.3600463867188,5.85722787644269,8.163031155155673
