,sequence,time,relative_time,frame_id,weight,mass,x,y
0,0,1604016130.2483582,0.0,D,0.0,0.0,4.000000059604645,2.500000037252903
3,0,1604016132.3958888,2.1475305557250977,H,0.0,0.0,3.7000000551342964,10.05000014975667
2,0,1604016131.992702,1.7443437576293945,I,0.0,0.0,2.0500000305473804,9.950000148266554
1,0,1604016130.9562094,0.7078511714935303,J,0.0,0.0,8.700000129640102,8.450000125914812
5,1,1604016140.749157,10.50079870223999,D,0.0,3036.935302734375,4.288644885905599,3.4483245339626776
4,1,1604016140.7228508,10.47449254989624,H,0.0,7319.13818359375,4.15116456040634,8.328558859680264
6,1,1604016140.8255615,10.577203273773193,I,0.0,1949.2701416015625,2.185099710901643,8.48579554601552
7,1,1604016140.8878555,10.63949728012085,J,0.0,2623.250244140625,7.746622506551528,7.158608345497456
8,2,1604016140.947786,10.699427843093872,D,0.10901815444231033,2861.650146484375,4.521068499021487,3.8498021611477498
11,2,1604016141.1169717,10.868613481521606,H,0.10529860854148865,1765.7901611328125,4.279395478821039,8.200005744231612
9,2,1604016141.080335,10.831976652145386,I,0.4858098030090332,1622.32763671875,2.2306146281383423,8.196712451660327
10,2,1604016141.0815458,10.833187580108643,J,0.5247009992599487,1337.6776123046875,7.778157911259541,7.401410688471586
12,3,1604016141.146368,10.898009777069092,D,0.2775203585624695,2730.59521484375,4.557683668765078,4.062833206901786
15,3,1604016141.3021603,11.053802013397217,H,0.1646183282136917,1506.382568359375,4.403572859651808,8.194484953797067
14,3,1604016141.2812963,11.032938003540039,I,0.930733323097229,1833.9376220703125,2.2977001681398153,7.975071956841765
13,3,1604016141.274697,11.026338815689087,J,1.0483688116073608,1257.5975341796875,7.819470544476111,7.6946313220187035
16,4,1604016141.3470826,11.098724365234375,D,0.11384568363428116,2773.22265625,4.616631931140871,4.172631436009052
19,4,1604016141.4858902,11.237531900405884,H,0.252336323261261,1298.6900634765625,4.511837987321615,8.262074792999975
18,4,1604016141.4824128,11.234054565429688,I,0.9636412262916565,2007.3350830078125,2.3697426351482624,7.840423570798885
17,4,1604016141.4716425,11.223284244537354,J,1.192639946937561,1192.2525634765625,7.861501630628453,7.980079440848348
20,5,1604016141.5489295,11.300571203231812,D,-0.054790087044239044,2766.90771484375,4.700250385539216,4.216141895899152
22,5,1604016141.678873,11.430514812469482,H,0.3551676571369171,1238.300048828125,4.582931313323485,8.341082632052121
23,5,1604016141.6829984,11.434640169143677,I,0.9512680172920227,2126.517578125,2.432464290372705,7.737199152515425
21,5,1604016141.6709676,11.422609329223633,J,1.3324915170669556,1116.2100830078125,7.9036441920806375,8.257709006206795
24,6,1604016141.7495544,11.501196146011353,D,-0.22992092370986938,2781.232666015625,4.7971358396367405,4.2306875488518045
26,6,1604016141.878412,11.630053758621216,H,0.46211832761764526,1220.425048828125,4.620329918990155,8.406450437465871
27,6,1604016141.8834498,11.635091543197632,I,0.9243022203445435,2199.97021484375,2.4796404718531586,7.642088986887366
25,6,1604016141.8700435,11.621685266494751,J,1.4680715799331665,1040.4700927734375,7.948513494605925,8.521889927585185
28,7,1604016141.9496942,11.701335906982422,D,-0.40525636076927185,2776.980224609375,4.896183959851752,4.230543546310252
30,7,1604016142.0782175,11.829859256744385,H,0.5679243803024292,1232.8150634765625,4.635006870250729,8.455026393773135
31,7,1604016142.0837512,11.835392951965332,I,0.8889245986938477,2259.7626953125,2.5159374907136622,7.548186920138682
29,7,1604016142.0692754,11.820917129516602,J,1.608315348625183,983.3025512695312,7.986082071943827,8.762053921566844
32,8,1604016142.1509933,11.902635097503662,D,-0.5780885219573975,2751.937744140625,4.990415948676336,4.221811447069582
34,8,1604016142.2783318,12.02997350692749,H,0.6691188812255859,1266.025146484375,4.629793609981251,8.489472443665179
35,8,1604016142.2839758,12.035617589950562,I,0.8479446768760681,2304.835205078125,2.544285328399944,7.45239814406203
33,8,1604016142.2685003,12.020142078399658,J,1.7533354759216309,937.2800903320312,8.019775369617816,8.969394899482323
36,9,1604016142.3510568,12.102698564529419,D,-0.744727373123169,2711.61279296875,5.076440812473305,4.20804661654122
38,9,1604016142.4783633,12.230005025863647,H,0.7623197436332703,1315.8675537109375,4.606951937777567,8.513869860826617
39,9,1604016142.484141,12.235782861709595,I,0.8034512400627136,2334.63525390625,2.567717420027523,7.350774943032048
37,9,1604016142.4677575,12.219399213790894,J,1.902099370956421,903.5525512695312,8.047948828869036,9.140471118327374
40,10,1604016142.565846,12.317487716674805,D,-0.902812123298645,2659.757568359375,5.154253180345733,4.1907366252567115
43,10,1604016142.6786306,12.430272340774536,H,0.8452320694923401,1376.4200439453125,4.56756735918906,8.533718606702472
42,10,1604016142.6840932,12.435734987258911,I,0.7570212483406067,2353.567626953125,2.58884039558975,7.24504563415255
41,10,1604016142.6681688,12.41981053352356,J,2.0534307956695557,881.2025756835938,8.068815827858305,9.273291964196066
44,11,1604016142.7543662,12.50600790977478,D,-1.0504605770111084,2598.677734375,5.2254111176104985,4.170437609550935
46,11,1604016142.8788118,12.63045358657837,H,0.9158400893211365,1448.0526123046875,4.506901227452566,8.555505281338185
